"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2012","00","00000","United States","306,086,063","48,760,123","48,528,543","48,991,703","48,528,543 to 48,991,703","15.9","15.8","16.0","15.8 to 16.0","72,605,436","16,396,863","16,275,868","16,517,858","16,275,868 to 16,517,858","22.6","22.4","22.8","22.4 to 22.8","52,675,863","11,086,537","10,995,403","11,177,671","10,995,403 to 11,177,671","21.0","20.8","21.2","20.8 to 21.2","19,611,275","5,014,970","4,971,692","5,058,248","4,971,692 to 5,058,248","25.6","25.4","25.8","25.4 to 25.8","$51,371","$51,318","$51,424","$51,318 to $51,424"
"2011","00","00000","United States","303,778,193","48,452,035","48,217,869","48,686,201","48,217,869 to 48,686,201","15.9","15.8","16.0","15.8 to 16.0","72,802,773","16,386,500","16,262,247","16,510,753","16,262,247 to 16,510,753","22.5","22.3","22.7","22.3 to 22.7","52,708,799","10,976,987","10,882,675","11,071,299","10,882,675 to 11,071,299","20.8","20.6","21.0","20.6 to 21.0","19,772,854","5,110,087","5,061,357","5,158,817","5,061,357 to 5,158,817","25.8","25.6","26.0","25.6 to 26.0","$50,502","$50,429","$50,575","$50,429 to $50,575"
"2010","00","00000","United States","301,535,021","46,215,956","45,975,650","46,456,262","45,975,650 to 46,456,262","15.3","15.2","15.4","15.2 to 15.4","73,024,577","15,749,129","15,621,395","15,876,863","15,621,395 to 15,876,863","21.6","21.4","21.8","21.4 to 21.8","52,872,735","10,484,513","10,394,015","10,575,011","10,394,015 to 10,575,011","19.8","19.6","20.0","19.6 to 20.0","19,822,633","4,961,524","4,910,772","5,012,276","4,910,772 to 5,012,276","25.0","24.8","25.2","24.8 to 25.2","$50,046","$49,982","$50,110","$49,982 to $50,110"
"2009","00","00000","United States","299,026,555","42,868,163","42,631,574","43,104,752","42,631,574 to 43,104,752","14.3","14.3","14.4","14.3 to 14.4","73,347,404","14,656,962","14,526,159","14,787,765","14,526,159 to 14,787,765","20.0","19.8","20.2","19.8 to 20.2","52,143,306","9,509,142","9,419,830","9,598,454","9,419,830 to 9,598,454","18.2","18.1","18.4","18.1 to 18.4","20,878,285","4,849,988","4,792,377","4,907,599","4,792,377 to 4,907,599","23.2","23.0","23.5","23.0 to 23.5","$50,221","$50,147","$50,295","$50,147 to $50,295"
"2008","00","00000","United States","296,184,480","39,108,422","38,858,742","39,358,102","38,858,742 to 39,358,102","13.2","13.1","13.3","13.1 to 13.3","72,825,003","13,240,870","13,115,296","13,366,444","13,115,296 to 13,366,444","18.2","18.0","18.4","18.0 to 18.4","51,864,080","8,549,526","8,469,455","8,629,597","8,469,455 to 8,629,597","16.5","16.3","16.6","16.3 to 16.6","20,602,241","4,369,698","4,311,741","4,427,655","4,311,741 to 4,427,655","21.2","20.9","21.5","20.9 to 21.5","$52,029","$51,956","$52,102","$51,956 to $52,102"
"2007","00","00000","United States","293,744,043","38,052,247","37,829,283","38,275,211","37,829,283 to 38,275,211","13.0","12.9","13.0","12.9 to 13.0","72,665,911","13,097,100","12,981,173","13,213,027","12,981,173 to 13,213,027","18.0","17.9","18.2","17.9 to 18.2","51,904,411","8,499,844","8,419,720","8,579,968","8,419,720 to 8,579,968","16.4","16.2","16.5","16.2 to 16.5","20,348,501","4,229,120","4,178,842","4,279,398","4,178,842 to 4,279,398","20.8","20.5","21.0","20.5 to 21.0","$50,740","$50,665","$50,815","$50,665 to $50,815"
"2006","00","00000","United States","291,531,091","38,757,253","38,535,015","38,979,491","38,535,015 to 38,979,491","13.3","13.2","13.4","13.2 to 13.4","72,482,732","13,285,569","13,170,950","13,400,188","13,170,950 to 13,400,188","18.3","18.2","18.5","18.2 to 18.5","51,999,081","8,700,048","8,613,863","8,786,233","8,613,863 to 8,786,233","16.7","16.6","16.9","16.6 to 16.9","20,066,651","4,211,345","4,166,465","4,256,225","4,166,465 to 4,256,225","21.0","20.8","21.2","20.8 to 21.2","$48,451","$48,369","$48,533","$48,369 to $48,533"
"2005","00","00000","United States","287,270,432","38,231,474","37,934,924","38,528,024","37,934,924 to 38,528,024","13.3","13.2","13.4","13.2 to 13.4","72,023,983","13,360,273","13,217,771","13,502,775","13,217,771 to 13,502,775","18.5","18.4","18.7","18.4 to 18.7","51,658,744","8,765,541","8,662,789","8,868,293","8,662,789 to 8,868,293","17.0","16.8","17.2","16.8 to 17.2","19,959,312","4,242,948","4,187,205","4,298,691","4,187,205 to 4,298,691","21.3","21.0","21.5","21.0 to 21.5","$46,242","$46,138","$46,346","$46,138 to $46,346"
"2004","00","00000","United States","290,616,537","37,039,804","36,359,662","37,719,946","36,359,662 to 37,719,946","12.7","12.5","13.0","12.5 to 13.0","73,241,407","13,041,492","12,694,086","13,388,898","12,694,086 to 13,388,898","17.8","17.3","18.3","17.3 to 18.3","52,159,407","8,430,886","8,142,299","8,719,473","8,142,299 to 8,719,473","16.2","15.6","16.7","15.6 to 16.7","20,121,433","4,123,715","3,917,910","4,329,520","3,917,910 to 4,329,520","20.5","19.5","21.5","19.5 to 21.5","$44,334","$44,012","$44,656","$44,012 to $44,656"
"2003","00","00000","United States","287,699,184","35,861,170","35,190,401","36,531,939","35,190,401 to 36,531,939","12.5","12.2","12.7","12.2 to 12.7","72,999,159","12,865,806","12,519,657","13,211,955","12,519,657 to 13,211,955","17.6","17.2","18.1","17.2 to 18.1","52,278,842","8,399,573","8,111,130","8,688,016","8,111,130 to 8,688,016","16.1","15.5","16.6","15.5 to 16.6","19,763,309","4,021,366","3,817,517","4,225,215","3,817,517 to 4,225,215","20.3","19.3","21.4","19.3 to 21.4","$43,318","$43,009","$43,627","$43,009 to $43,627"
